Map,Metabolism,Pathway,KOs
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00001
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00002
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00016
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00114
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00121
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00128
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00129
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00131
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00134
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00138
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00149
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00150
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00161
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00162
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00163
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00169
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00170
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00171
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00172
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00174
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00175
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00382
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00627
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00844
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00845
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00850
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00873
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00886
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00895
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00918
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K00927
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01084
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01085
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01086
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01222
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01223
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01568
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01596
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01610
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01622
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01623
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01624
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01689
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01785
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01792
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01803
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01810
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01834
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01835
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01837
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01895
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01905
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K01913
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02446
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02752
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02753
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02777
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02778
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02779
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02790
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K02791
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K03103
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K03737
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K03841
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K04022
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K04041
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K04072
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K06859
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K08074
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K10705
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K11389
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K11532
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K11645
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K12406
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K12407
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13810
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13951
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13952
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13953
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13954
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K13980
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K14028
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K14029
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K14085
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15633
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15634
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15635
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15778
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15779
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K15916
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K16305
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K16306
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K16370
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K18857
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K18978
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20116
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20117
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20118
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K20866
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K21071
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K22224
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K22473
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,K22474
map00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis,
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00024
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00025
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00026
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00030
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00031
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00116
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00161
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00162
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00163
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00164
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00169
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00170
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00171
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00172
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00174
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00175
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00176
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00177
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00234
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00235
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00236
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00237
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00239
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00240
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00241
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00242
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00244
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00245
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00246
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00247
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00382
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00627
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K00658
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01596
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01610
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01647
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01648
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01676
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01677
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01678
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01679
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01681
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01682
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01899
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01900
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01902
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01903
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01958
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01959
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K01960
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K03737
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K05942
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K15230
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K15231
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K17753
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K18118
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K18859
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),K18860
map00020,Carbohydrate metabolism,Citrate cycle (TCA cycle),
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00032
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00033
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00034
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00036
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00090
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00115
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00117
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00131
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00615
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00616
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00850
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00851
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00852
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00874
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00895
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00918
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K00948
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01053
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01057
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01086
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01619
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01621
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01622
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01623
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01624
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01625
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01690
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01783
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01807
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01808
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01810
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01835
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K01839
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K02446
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K03738
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K03841
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K04041
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K05308
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K05774
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K06151
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K06152
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K06859
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K07404
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K08093
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K08094
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K11395
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K11441
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K11529
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K11532
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K11645
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K13810
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K13812
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K13831
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K13937
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K15778
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K15779
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K15916
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K16305
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K16306
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K16370
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K17463
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K17464
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K17465
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K17466
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K17467
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K17468
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18020
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18021
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18022
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18124
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18125
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18126
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18127
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18128
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K18978
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K19243
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K19813
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K21071
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K21840
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K22199
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K22229
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K22345
map00030,Carbohydrate metabolism,Pentose phosphate pathway,K22969
map00030,Carbohydrate metabolism,Pentose phosphate pathway,
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00002
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00007
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00008
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00011
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00012
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00039
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00040
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00041
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00065
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00078
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00594
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00699
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00848
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00853
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00854
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00875
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00880
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K00963
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01051
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01184
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01195
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01213
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01629
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01685
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01686
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01728
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01730
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01731
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01783
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01804
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01805
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01812
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01815
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K01820
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K03077
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K03078
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K03079
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K03331
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K05351
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K05352
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K08092
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K08322
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K08323
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K09988
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K12447
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K13247
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K13877
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K14259
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K14273
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K14274
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K14275
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K14756
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K16190
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K16849
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K16850
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K17738
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K17743
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K17818
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K18102
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K18103
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K18106
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K18107
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K19551
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K19588
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K19634
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K21030
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K21031
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K21619
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K21680
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K21681
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22185
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22186
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22187
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22396
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22397
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22539
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22933
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22935
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,K22994
map00040,Carbohydrate metabolism,Pentose and glucuronate interconversions,
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00007
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00008
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00009
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00011
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00045
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00064
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00066
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00068
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00594
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00844
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00846
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00847
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00848
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00850
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00863
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00879
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00881
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00882
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00895
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00900
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00966
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00971
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K00976
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01086
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01103
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01218
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01622
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01623
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01624
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01628
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01629
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01711
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01729
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01795
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01803
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01805
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01808
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01809
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01813
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01818
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01820
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K01840
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02377
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02446
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02768
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02769
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02770
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02771
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02781
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02782
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02783
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02793
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02794
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02795
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02796
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02798
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02799
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02800
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02812
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02813
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02814
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K02815
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K03332
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K03841
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K04041
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K05305
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K05947
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K07026
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K07046
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K08261
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K11194
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K11195
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K11196
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K11532
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K11645
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K12660
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K12661
map00051,Carbohydrate metabolism,Fructose and mannose metabolism,K14634
