Genome,Domain,Phylum,Class,Order,Family,Genus
SEr3G3H3I__bin_186,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,JAKAGE01
LAWAr2D2E2F__bin_24,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,,
MHr3G3H3I__bin_65,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,,
LASCr2D2E2F__bin_124,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,,
MGr1A1B1C__bin_111,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,,
MGr3G3H3I__bin_83,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,Fen-1364,Fen-1364
MGr1A1B1C__bin_146,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,Fen-1364,Fen-1364
MGr2D2E2F__bin_83,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,Fen-1364,Fen-1364
SEr2D2E2F__bin_108,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Rectinemataceae,
SEr3G3H3I__bin_236,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Rectinemataceae,
SEr3G3H3I__bin_170,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,
CRr2D2E2F__bin_90,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,PRDV01
SEr2D2E2F__bin_57,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,PRDV01
LABRr1A1B1C__bin_138,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,
MGr1A1B1C__bin_55,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,
SEr3G3H3I__bin_108,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,
MGr3G3H3I__bin_85,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,
SEr2D2E2F__bin_83,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,Bog-366
SEr3G3H3I__bin_163,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,Bog-366
LABRr1A1B1C__bin_71,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,
MGr1A1B1C__bin_1,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,
MGr3G3H3I__bin_35,Bacteria,Acidobacteriota,Terriglobia,UBA7540,UBA7540,
BOr1A1B1C__bin_57,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Palsa-295
BOr2D2E2F__bin_22,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Palsa-295
LASAr3G3H3I__bin_91,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Palsa-295
MHr2D2E2F__bin_53,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Palsa-295
MGr3G3H3I__bin_9,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Palsa-295
MHr2D2E2F__bin_102,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Palsa-295
BOr3G3H3I__bin_96,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MHr2D2E2F__bin_16,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
SEr3G3H3I__bin_288,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LABRr1A1B1C__bin_134,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LASYr2D2E2F__bin_2,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
BOr2D2E2F__bin_20,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
BOr3G3H3I__bin_49,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
BOr1A1B1C__bin_44,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
SEr2D2E2F__bin_118,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MHr3G3H3I__bin_94,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LABRr1A1B1C__bin_47,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
SEr3G3H3I__bin_150,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LAWAr2D2E2F__bin_36,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MHr2D2E2F__bin_37,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MGr3G3H3I__bin_139,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LASCr2D2E2F__bin_22,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MGr2D2E2F__bin_45,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MHr3G3H3I__bin_38,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LAWAr2D2E2F__bin_157,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MHr2D2E2F__bin_86,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LASAr3G3H3I__bin_23,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LAWAr2D2E2F__bin_14,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LABRr1A1B1C__bin_77,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
SEr3G3H3I__bin_56,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
MGr1A1B1C__bin_10,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,Acidoferrum
LABRr1A1B1C__bin_12,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,
MGr2D2E2F__bin_78,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,
MGr1A1B1C__bin_97,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,
MGr2D2E2F__bin_74,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,
MGr3G3H3I__bin_132,Bacteria,Acidobacteriota,Terriglobia,Acidoferrales,UBA7541,
MGr2D2E2F__bin_113,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,PALSA-129
MGr1A1B1C__bin_90,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,PALSA-129
SEr2D2E2F__bin_78,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
BAr1A1B1C__bin_56,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
CRr3G3H3I__bin_76,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
BAr2D2E2F__bin_10,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
MGr3G3H3I__bin_156,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
LASAr3G3H3I__bin_108,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
MGr2D2E2F__bin_103,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
MGr1A1B1C__bin_54,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
CRr1A1B1C__bin_50,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
MHr1A1B1C__bin_63,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
CRr3G3H3I__bin_95,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
SEr2D2E2F__bin_162,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
MGr1A1B1C__bin_144,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
BAr1A1B1C__bin_60,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
BAr2D2E2F__bin_76,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
SEr3G3H3I__bin_85,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
BAr1A1B1C__bin_67,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
MGr1A1B1C__bin_88,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Fen-330
MGr2D2E2F__bin_25,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Fen-330
SEr2D2E2F__bin_113,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Palsa-89
BAr2D2E2F__bin_8,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Palsa-89
MGr2D2E2F__bin_38,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
MGr1A1B1C__bin_104,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
MGr3G3H3I__bin_168,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,
SEr3G3H3I__bin_173,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,JAKAAZ01
MGr2D2E2F__bin_76,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Palsa-288
CRr1A1B1C__bin_52,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Palsa-288
MHr1A1B1C__bin_32,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Palsa-288
SEr3G3H3I__bin_29,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Palsa-288
BOr1A1B1C__bin_42,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr3G3H3I__bin_231,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
BAr1A1B1C__bin_86,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
BAr1A1B1C__bin_85,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
LASYr2D2E2F__bin_94,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr2D2E2F__bin_41,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr3G3H3I__bin_69,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr2D2E2F__bin_65,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
MGr1A1B1C__bin_35,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr3G3H3I__bin_275,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
MGr2D2E2F__bin_111,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr3G3H3I__bin_25,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
LABRr1A1B1C__bin_18,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
LASCr2D2E2F__bin_4,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
LAWAr2D2E2F__bin_95,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
CRr2D2E2F__bin_61,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr2D2E2F__bin_146,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr3G3H3I__bin_10,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
BAr1A1B1C__bin_92,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
LASCr2D2E2F__bin_48,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr2D2E2F__bin_23,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
CRr2D2E2F__bin_78,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
CRr1A1B1C__bin_29,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
MHr1A1B1C__bin_31,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
MGr2D2E2F__bin_56,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
MGr3G3H3I__bin_159,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr2D2E2F__bin_40,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr3G3H3I__bin_132,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
LASCr2D2E2F__bin_104,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
MGr1A1B1C__bin_62,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
SEr2D2E2F__bin_97,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus
